"","id","status_group","latitude","longitude","region","management","quantity","population","IMPinstaller","IMPfunder"
"1",5784,"non-functional",-7.36693972,30.62028881,"Rukwa","vwc","enough",1,"DWE","Other"
"2",58672,"non-functional",-7.36352968,30.61916597,"Rukwa","vwc","enough",1,"DWE","Other"
"3",60391,"functional",-7.3244617,30.6014466,"Rukwa","vwc","enough",300,"DWE","Other"
"4",48263,"non-functional",-7.3682882,30.62538521,"Rukwa","unknown","enough",1,"DWE","Other"
"5",45777,"non-functional",-8.36234844,31.08183593,"Rukwa","vwc","enough",1000,"DWE","Other"
"6",2197,"non-functional",-7.12726489,30.52376957,"Rukwa","vwc","enough",1,"DWE","Other"
"7",7604,"non-functional",-7.81281917,30.77861251,"Rukwa","vwc","insufficient",1,"DWE","Other"
"8",47076,"non-functional",-7.4844542,30.58851879,"Rukwa","vwc","dry",1,"DWE","Other"
"9",27474,"non-functional",-6.81867044,30.43863497,"Rukwa","vwc","enough",50,"Other","Other"
"10",21497,"non-functional",-7.32080155,30.60203473,"Rukwa","vwc","enough",1,"DWE","Other"
"11",56940,"non-functional",-7.90312233,30.83783933,"Rukwa","vwc","enough",1,"DWE","Other"
"12",33518,"non-functional",-7.12776351,30.52371063,"Rukwa","vwc","enough",1,"DWE","Other"
"13",55934,"non-functional",-8.13374936,30.96824366,"Rukwa","vwc","unknown",1,"DWE","Other"
"14",58952,"non-functional",-7.12751946,30.52336921,"Rukwa","vwc","enough",1,"DWE","Other"
"15",54564,"functional",-7.36864448,30.62543075,"Rukwa","vwc","enough",750,"DWE","Other"
"16",6383,"non-functional",-7.36668937,30.6184374,"Rukwa","vwc","enough",1,"DWE","Other"
"17",17817,"non-functional",-7.36798664,30.61823796,"Rukwa","vwc","enough",1,"DWE","Other"
"18",23916,"non-functional",-7.37128527,30.6235231,"Rukwa","vwc","enough",1,"DWE","Other"
"19",37792,"non-functional",-7.36986452,30.62915964,"Rukwa","vwc","enough",1,"DWE","Other"
"20",55601,"non-functional",-7.36699579,30.6287583,"Rukwa","vwc","enough",1,"DWE","Other"
"21",71404,"non-functional",-7.44209223,30.60178832,"Rukwa","vwc","enough",1,"DWE","Other"
"22",20241,"non-functional",-7.36878911,30.61900238,"Rukwa","vwc","enough",1,"DWE","Other"
"23",34490,"non-functional",-7.36065475,30.62483337,"Rukwa","vwc","enough",1,"DWE","Other"
"24",68619,"non-functional",-8.02774134,30.90365003,"Rukwa","vwc","enough",1,"DWE","Other"
"25",24344,"functional",-7.47617569,30.58761962,"Rukwa","vwc","enough",300,"DWE","Other"
"26",48496,"non-functional",-6.74141854,30.40364283,"Rukwa","water authority","enough",350,"Other","WORLD BANK"
"27",45112,"functional",-7.48769403,30.59825369,"Rukwa","vwc","enough",800,"Other","Other"
"28",8910,"non-functional",-7.1209684,30.55546995,"Rukwa","vwc","unknown",1,"DWE","Other"
"29",14173,"non-functional",-7.80965663,30.77824118,"Rukwa","vwc","enough",1,"DWE","Other"
"30",41708,"non-functional",-7.36919161,30.62300555,"Rukwa","vwc","enough",1,"DWE","Other"
"31",45470,"non-functional",-7.39710092,30.63867794,"Rukwa","vwc","enough",1,"DWE","Other"
"32",51363,"non-functional",-7.98818793,30.8853164,"Rukwa","vwc","insufficient",1,"DWE","Other"
"33",59044,"non-functional",-7.36813308,30.61805085,"Rukwa","vwc","enough",1,"DWE","Other"
"34",69670,"non-functional",-7.16322852,30.53691342,"Rukwa","vwc","unknown",1,"DWE","Other"
"35",71843,"non-functional",-6.82065423,30.43826147,"Rukwa","vwc","insufficient",150,"Other","Other"
"36",58866,"non-functional",-6.73961817,30.40396289,"Rukwa","water authority","enough",250,"Other","WORLD BANK"
"37",39447,"functional",-7.12706856,30.52338327,"Rukwa","vwc","enough",300,"DWE","Other"
"38",32491,"functional",-7.36696174,30.62582148,"Rukwa","vwc","enough",800,"DWE","Other"
"39",3264,"functional",-7.11724911,30.55672607,"Rukwa","vwc","insufficient",1000,"DWE","Other"
"40",52619,"functional",-8.1013976,30.94678024,"Rukwa","vwc","enough",1600,"Other","Other"
"41",11702,"functional",-8.25564506,31.00189856,"Rukwa","vwc","enough",4100,"DWE","Other"
"42",13701,"functional",-7.04556032,30.56057011,"Rukwa","vwc","insufficient",1,"DWE","Other"
"43",20921,"non-functional",-7.16730792,30.53551642,"Rukwa","vwc","unknown",1,"DWE","Other"
"44",37715,"functional",-6.99898932,30.57643097,"Rukwa","vwc","enough",1,"DWE","Other"
"45",47115,"non-functional",-7.99822629,30.89140581,"Rukwa","vwc","enough",1,"DWE","Other"
"46",64544,"non-functional",-7.36064964,30.62406439,"Rukwa","vwc","enough",1,"DWE","Other"
"47",73835,"non-functional",-6.74344144,30.40593327,"Rukwa","water authority","enough",250,"Other","WORLD BANK"
"48",65314,"functional",-7.48796844,30.59937415,"Rukwa","vwc","enough",500,"DWE","Other"
"49",275,"non-functional",-7.04626131,30.55998701,"Rukwa","vwc","enough",1,"DWE","Other"
"50",26844,"non-functional",-7.44119829,30.60379578,"Rukwa","vwc","enough",1,"DWE","Other"
"51",46290,"non-functional",-7.00363055,30.57913978,"Rukwa","vwc","enough",1,"DWE","Other"
"52",56411,"non-functional",-7.22779672,30.54887373,"Rukwa","vwc","enough",1,"DWE","Other"
"53",73333,"non-functional",-7.37160206,30.62211896,"Rukwa","vwc","enough",1,"DWE","Other"
"54",59484,"non-functional",-6.74078526,30.40458375,"Rukwa","vwc","insufficient",270,"Other","Other"
"55",60031,"functional",-6.74307055,30.40693865,"Rukwa","vwc","insufficient",350,"Other","Other"
"56",56755,"functional",-7.07275756,30.56341735,"Rukwa","vwc","enough",350,"DWE","Other"
"57",27566,"non-functional",-8.10174081,30.94803554,"Rukwa","vwc","dry",1,"DWE","Other"
"58",28996,"non-functional",-7.36813507,30.62398071,"Rukwa","vwc","enough",1,"DWE","Other"
"59",33509,"non-functional",-7.05106947,30.55852266,"Rukwa","vwc","unknown",1,"DWE","Other"
"60",69549,"non-functional",-7.36223967,30.62359226,"Rukwa","vwc","enough",1,"DWE","Other"
"61",29909,"non-functional",-8.10252771,30.9478515,"Rukwa","vwc","insufficient",1,"Other","Other"
"62",9258,"non-functional",-6.74144252,30.40521177,"Rukwa","vwc","enough",175,"Other","Other"
"63",19197,"functional",-7.07310427,30.56411196,"Rukwa","vwc","enough",250,"DWE","Other"
"64",49771,"non-functional",-7.92921339,30.84220413,"Rukwa","vwc","enough",1,"DWE","Other"
"65",52149,"non-functional",-8.02679636,30.90353756,"Rukwa","vwc","enough",1,"DWE","Other"
"66",59247,"non-functional",-7.11759625,30.55801308,"Rukwa","vwc","dry",1,"DWE","Other"
"67",59996,"non-functional",-7.8819376,30.82256727,"Rukwa","vwc","enough",1,"DWE","Other"
"68",71554,"non-functional",-7.36137506,30.6253918,"Rukwa","vwc","enough",1,"DWE","Other"
"69",30040,"non-functional",-7.95479979,30.84871449,"Rukwa","vwc","insufficient",1,"DWE","Other"
"70",52486,"non-functional",-7.42690421,30.65530321,"Rukwa","vwc","enough",1,"DWE","Other"
"71",69813,"non-functional",-7.04545522,30.55672233,"Rukwa","vwc","insufficient",1,"DWE","Other"
"72",50188,"functional",-6.72606786,30.389126,"Rukwa","vwc","enough",300,"Other","Other"
"73",44928,"functional",-6.81418703,30.44271967,"Rukwa","parastatal","seasonal",350,"Other","Other"
"74",921,"non-functional",-7.2866901,30.58559293,"Rukwa","vwc","insufficient",1,"DWE","Other"
"75",20149,"non-functional",-7.05655361,30.55532128,"Rukwa","vwc","insufficient",1,"DWE","Other"
"76",27313,"non-functional",-7.16512886,30.53578326,"Rukwa","vwc","unknown",1,"DWE","Other"
"77",38654,"non-functional",-7.11823134,30.56412231,"Rukwa","vwc","insufficient",1,"DWE","Other"
"78",59844,"non-functional",-8.13253773,30.96762112,"Rukwa","vwc","enough",1,"DWE","Other"
"79",59963,"non-functional",-7.05142675,30.55919613,"Rukwa","vwc","dry",1,"DWE","Other"
"80",17344,"non-functional",-7.0380341,30.5582162,"Rukwa","vwc","insufficient",1,"Other","Other"
"81",425,"non-functional",-6.97654279,30.57407985,"Rukwa","vwc","insufficient",1,"DWE","Other"
"82",35009,"non-functional",-6.97168365,30.57644907,"Rukwa","vwc","dry",1,"DWE","Other"
"83",70307,"non-functional",-6.73941786,30.4014957,"Rukwa","water authority","enough",250,"Other","WORLD BANK"
"84",34845,"non-functional",-7.88078598,30.82262969,"Rukwa","vwc","enough",1,"DWE","Other"
"85",39640,"non-functional",-7.9523115,30.84818035,"Rukwa","vwc","insufficient",1,"DWE","Other"
"86",58742,"non-functional",-6.82566156,30.44304072,"Rukwa","vwc","insufficient",50,"Other","Other"
"87",50943,"non-functional",-6.82353339,30.44014916,"Rukwa","vwc","enough",153,"Other","Other"
"88",33597,"non-functional",-6.74083242,30.4062276,"Rukwa","water authority","enough",250,"Other","WORLD BANK"
"89",17825,"functional-needs-repair",-6.74444392,30.40992166,"Rukwa","vwc","enough",256,"Other","Other"
"90",7930,"non-functional",-7.04448215,30.5546762,"Rukwa","vwc","insufficient",1,"DWE","Other"
"91",27810,"non-functional",-7.98997829,30.88502664,"Rukwa","vwc","enough",1,"DWE","Other"
"92",37028,"non-functional",-7.36191946,30.6251289,"Rukwa","vwc","enough",1,"DWE","Other"
"93",58946,"functional",-6.97106823,30.57254139,"Rukwa","vwc","insufficient",1,"DWE","Other"
"94",47602,"non-functional",-7.48762822,30.5981159,"Rukwa","vwc","enough",1,"Other","Other"
"95",3247,"non-functional",-7.95054649,30.84224555,"Rukwa","vwc","enough",1,"DWE","Other"
"96",31220,"non-functional",-7.95552421,30.84053228,"Rukwa","vwc","enough",1,"DWE","Other"
"97",45349,"non-functional",-7.118525,30.51720821,"Rukwa","vwc","insufficient",1,"DWE","Other"
"98",4473,"functional",-8.12528309,30.96644888,"Rukwa","vwc","enough",150,"DWE","Other"
"99",43694,"non-functional",-6.73827566,30.40488729,"Rukwa","water authority","enough",250,"Other","WORLD BANK"
"100",37492,"functional-needs-repair",-6.72483438,30.38806721,"Rukwa","vwc","seasonal",256,"Other","Other"
"101",41344,"functional-needs-repair",-6.72792593,30.38989787,"Rukwa","vwc","insufficient",256,"Other","Other"
"102",11030,"functional",-6.72748825,30.39212319,"Rukwa","vwc","insufficient",360,"Other","Other"
"103",61237,"functional",-7.04075135,30.56302544,"Rukwa","vwc","enough",500,"DWE","Other"
"104",37503,"functional",-7.44205872,30.59724346,"Rukwa","vwc","enough",800,"Other","Other"
"105",12265,"non-functional",-7.4251267,30.65715688,"Rukwa","vwc","enough",1,"DWE","Other"
"106",42189,"non-functional",-7.03986469,30.55406984,"Rukwa","vwc","enough",1,"DWE","Other"
"107",60127,"non-functional",-7.36851868,30.62541634,"Rukwa","vwc","enough",1,"DWE","Other"
"108",65568,"non-functional",-7.92987104,30.84476626,"Rukwa","vwc","enough",1,"DWE","Other"
"109",16119,"non-functional",-6.73351586,30.40119085,"Rukwa","water authority","enough",200,"Other","WORLD BANK"
"110",2531,"non-functional",-7.42780336,30.65628533,"Rukwa","vwc","enough",1,"DWE","Other"
"111",66989,"non-functional",-6.73814499,30.40331611,"Rukwa","vwc","enough",150,"Other","Other"
"112",46052,"non-functional",-6.74550669,30.41190322,"Rukwa","water authority","enough",230,"Other","WORLD BANK"
"113",2028,"functional",-6.7290648,30.39081575,"Rukwa","vwc","insufficient",250,"Other","Other"
"114",62239,"functional",-6.73911708,30.40617372,"Rukwa","vwc","insufficient",450,"Other","GOVERNMENT OF TANZANIA"
"115",57441,"non-functional",-7.94957154,30.84010529,"Rukwa","vwc","enough",1,"DWE","Other"
